,Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,movieId,imdbId,tmdbId,randomNumber,Budget,Box Office,Rated,Metascore,IMDB Rating,IMDB Votes,Rotten Tomatoes
0,0,tt6768578,Dogman,Dogman,2018,103,"Crime,Drama,Thriller",188675,6768578,483184.0,9.3673333379507e-05,,5080147,Not Rated,71.0,7.2,24554.0,84.0
1,1,tt1637706,Our Idiot Brother,Our Idiot Brother,2011,90,"Comedy,Drama",88672,1637706,59968.0,0.0001062674683353,5000000.0,24816118,R,60.0,6.4,86111.0,70.0
2,2,tt1486185,Red Riding Hood,Red Riding Hood,2011,100,"Fantasy,Horror,Mystery",85397,1486185,49730.0,0.0001766837037627,42000000.0,89162162,PG-13,29.0,5.5,110023.0,10.0
3,3,tt1373243,Tarif Novogodniy,Tarif Novogodniy,2008,83,"Comedy,Fantasy,Romance",171549,1373243,50530.0,0.0001957377643007,3200000.0,3877492,,,6.3,662.0,
4,4,tt0337879,Blackball,Blackball,2003,96,"Comedy,Drama,Sport",32128,337879,15443.0,0.0002789138729473,,48000,R,,5.6,4113.0,41.0
5,5,tt1375666,Inception,Inception,2010,148,"Action,Adventure,Sci-Fi",79132,1375666,27205.0,0.0005196018135207,160000000.0,825532764,PG-13,74.0,8.8,2168803.0,87.0
6,6,tt9795368,Conquest,Tobol,2019,108,"Action,Drama,History",203984,9795368,520552.0,0.0006254918239217,,1964806,TV-14,,5.9,1096.0,
7,7,tt1446714,Prometheus,Prometheus,2012,124,"Adventure,Mystery,Sci-Fi",94864,1446714,70981.0,0.0006827597702401,130000000.0,403170142,R,64.0,7.0,584095.0,73.0
8,8,tt2345759,The Mummy,The Mummy,2017,111,"Action,Adventure,Fantasy",170827,2345759,282035.0,0.0007413530259173,125000000.0,409231607,PG-13,34.0,5.4,179540.0,16.0
9,9,tt0324127,Suspect Zero,Suspect Zero,2004,99,"Crime,Horror,Mystery",8831,324127,8080.0,0.0007439975275166,27000000.0,13000000,R,37.0,5.8,19441.0,18.0
10,10,tt0247638,The Princess Diaries,The Princess Diaries,2001,115,"Comedy,Family,Romance",4700,247638,9880.0,0.0011856128924295,37000000.0,165335153,G,52.0,6.4,134998.0,48.0
11,11,tt4044364,Citizenfour,Citizenfour,2014,114,"Biography,Documentary,History",117533,4044364,293310.0,0.0012876838890404,,3003169,R,88.0,8.0,54129.0,96.0
12,12,tt4291600,Lady Macbeth,Lady Macbeth,2016,89,"Drama,Romance",169760,4291600,410117.0,0.0013295238180524,,5245263,R,76.0,6.8,21727.0,88.0
13,13,tt0342258,Unleashed,Unleashed,2005,103,"Action,Crime,Drama",33437,342258,10027.0,0.0014600305585767,45000000.0,50871113,R,58.0,7.0,100889.0,66.0
14,14,tt0165982,Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,2003,88,"Adventure,Animation,Comedy",6536,165982,14411.0,0.0015101727801708,60000000.0,80767884,PG,48.0,6.7,51842.0,45.0
15,15,tt2948356,Zootopia,Zootopia,2016,108,"Adventure,Animation,Comedy",152081,2948356,269149.0,0.0015522959523017,150000000.0,1023784195,PG,78.0,8.0,457989.0,98.0
16,16,tt4537362,"Kidnapping, Caucasian Style",Kavkazskaya plennitsa!,2014,95,Comedy,171479,4537362,330878.0,0.0015687579255089,3500000.0,179000,,,1.1,460.0,
17,17,tt2194499,About Time,About Time,2013,123,"Comedy,Drama,Fantasy",104374,2194499,122906.0,0.0018364812717647,12000000.0,87100449,R,55.0,7.8,322371.0,69.0
18,18,tt2121382,Force Majeure,Turist,2014,120,"Comedy,Drama",175813,2121382,265189.0,0.0018695887435945,,4094339,R,87.0,7.3,51973.0,94.0
19,19,tt0381270,Happily Ever After,Ils se marièrent et eurent beaucoup d'enfants,2004,100,"Comedy,Drama,Music",33898,381270,14653.0,0.0022442360437443,10900000.0,7725902,Unrated,58.0,6.5,4977.0,57.0
20,20,tt0880578,Untraceable,Untraceable,2008,101,"Crime,Mystery,Thriller",57526,880578,8090.0,0.0027558106666519,35000000.0,52659594,R,32.0,6.2,48945.0,16.0
21,21,tt0238948,Double Take,Double Take,2001,88,"Action,Comedy,Crime",4053,238948,18828.0,0.0027786684927164,24000000.0,31600000,PG-13,25.0,5.4,8309.0,12.0
22,22,tt1999987,Breathe In,Breathe In,2013,98,"Drama,Romance",109629,1999987,158907.0,0.0029992667366427,,89661,R,60.0,6.4,14679.0,56.0
23,23,tt4129428,Jagga Jasoos,Jagga Jasoos,2017,161,"Action,Adventure,Comedy",184231,4129428,401285.0,0.0033001505360582,19700000.0,12500000,TV-14,,6.5,9771.0,83.0
24,24,tt1377278,Defamation,Hashmatsa,2009,91,Documentary,185515,1377278,56895.0,0.0035518949210282,1000000.0,11410,Not Rated,58.0,7.5,1927.0,85.0
25,25,tt1926313,Pyaar Ka Punchnama,Pyaar Ka Punchnama,2011,149,"Comedy,Drama,Romance",103050,1926313,65521.0,0.0036951990180856,1400000.0,7200000,Not Rated,,7.6,20804.0,
26,26,tt1410063,The Flowers of War,Jin ling shi san chai,2011,146,"Drama,History,Romance",92243,1410063,76758.0,0.004473781453627,94000000.0,95311434,R,46.0,7.6,51205.0,41.0
27,27,tt1410051,Retreat,Retreat,2011,90,"Drama,Thriller",93024,1410051,73936.0,0.0046634793862139,,4498,R,,5.8,11431.0,62.0
28,28,tt0419749,Find Me Guilty,Find Me Guilty,2006,125,"Biography,Comedy,Crime",44197,419749,9950.0,0.005035256858168,13000000.0,2636637,R,65.0,7.0,33866.0,62.0
29,29,tt3508112,I'm Not Angry!,Asabani Nistam!,2014,110,"Drama,Romance",181701,3508112,314449.0,0.0051479230260359,10000.0,100000,,,6.8,2483.0,
30,30,tt7818580,While at War,Mientras dure la guerra,2019,107,"Drama,History,War",206931,7818580,542921.0,0.0052384414855529,4735684.0,12277353,,55.0,6.9,6033.0,
31,31,tt1270835,Hatchet II,Hatchet II,2010,85,"Action,Comedy,Horror",82366,1270835,43919.0,0.0054022374844825,2500000.0,156190,R,49.0,5.5,13171.0,42.0
32,32,tt0381681,Before Sunset,Before Sunset,2004,80,"Drama,Romance",8638,381681,80.0,0.0055074090604543,2700000.0,15992615,R,90.0,8.1,247591.0,94.0
33,33,tt5938084,BuyBust,BuyBust,2018,127,"Action,Crime,Thriller",194126,5938084,496283.0,0.005846315209168,,178471,Not Rated,68.0,5.8,1800.0,83.0
34,34,tt0486655,Stardust,Stardust,2007,127,"Adventure,Family,Fantasy",54259,486655,2270.0,0.0059658429678622,70000000.0,135560026,PG-13,66.0,7.6,262681.0,77.0
