movieId,imdbId,tmdbId,imdbTTID
88674,8,105158,tt0000008
140539,3,88013,tt0000003
172063,1,16612,tt0000001
180695,7,159895,tt0000007
98981,12,160,tt0000012
113048,14,82120,tt0000014
120869,10,774,tt0000010
167498,29,122134,tt0000029
167502,70,129865,tt0000070
171465,91,133063,tt0000091
173977,75,104466,tt0000075
176169,23,127762,tt0000023
182531,41,144391,tt0000041
192965,28,127764,tt0000028
199704,33,127157,tt0000033
199706,13,208234,tt0000013
199708,22,127777,tt0000022
199714,27,127792,tt0000027
199716,16,129436,tt0000016
32898,417,775,tt0000417
49389,439,5698,tt0000439
94431,192,159900,tt0000192
114371,942,127105,tt0000942
129836,499,2963,tt0000499
140541,516,143634,tt0000516
140545,682,85221,tt0000682
140551,455,49273,tt0000455
155162,399,144436,tt0000399
155164,546,94702,tt0000546
159149,498,94643,tt0000498
161111,420,41278,tt0000420
165397,230,114108,tt0000230
167522,469,143801,tt0000469
167526,364,190605,tt0000364
168268,488,105352,tt0000488
170573,574,20105,tt0000574
173909,132,104460,tt0000132
173921,131,104462,tt0000131
174025,138,104476,tt0000138
174105,304,179236,tt0000304
174107,313,179235,tt0000313
174155,437,119984,tt0000437
174169,423,195939,tt0000423
174171,465,32673,tt0000465
174179,567,137757,tt0000567
174183,614,150396,tt0000614
174195,534,132379,tt0000534
174211,833,36874,tt0000833
174215,832,49270,tt0000832
174241,447,44341,tt0000447
174243,355,179038,tt0000355
174245,852,258830,tt0000852
174249,358,171430,tt0000358
174255,565,189595,tt0000565
174257,524,144444,tt0000524
174261,840,131085,tt0000840
174263,554,134750,tt0000554
174353,938,163233,tt0000938
175797,211,104700,tt0000211
175805,246,49295,tt0000246
175977,242,104704,tt0000242
176223,359,49279,tt0000359
182537,410,129863,tt0000410
185369,300,144432,tt0000300
187297,218,114128,tt0000218
187327,274,119966,tt0000274
187337,299,119975,tt0000299
194847,553,139246,tt0000553
195377,628,132394,tt0000628
199710,136,414401,tt0000136
200968,854,194066,tt0000854
206973,235,104706,tt0000235
3309,9018,36208,tt0009018
6988,9968,899,tt0009968
7065,4972,618,tt0004972
7243,6864,3059,tt0006864
8511,8133,47653,tt0008133
25735,5078,70368,tt0005078
33401,7613,31819,tt0007613
48374,8395,47190,tt0008395
62383,6333,30266,tt0006333
64245,8874,45838,tt0008874
66284,3643,28196,tt0003643
69233,9937,70806,tt0009937
69509,6206,29082,tt0006206
71472,1527,90056,tt0001527
71705,9062,48214,tt0009062
71792,9611,53423,tt0009611
72315,6780,84772,tt0006780
72626,9932,53516,tt0009932
72921,7361,174598,tt0007361
73480,6745,126925,tt0006745
74097,3740,5153,tt0003740
76758,4707,22943,tt0004707
78629,8663,108017,tt0008663
80725,4635,161710,tt0004635
82007,3014,147622,tt0003014
82332,8879,70800,tt0008879
82390,9878,44441,tt0009878
84852,4181,98078,tt0004181
86471,4465,36821,tt0004465
86518,3419,28627,tt0003419
89323,2461,46758,tt0002461
90339,3489,133123,tt0003489
91503,5529,174593,tt0005529
91562,6886,56801,tt0006886
92132,5960,86081,tt0005960
92231,8891,71271,tt0008891
92691,6826,112485,tt0006826
92883,4066,147621,tt0004066
93328,7145,53418,tt0007145
93330,7832,53420,tt0007832
93333,4936,53410,tt0004936
93336,5810,53403,tt0005810
93406,7194,53414,tt0007194
93408,6414,53419,tt0006414
93418,7880,47650,tt0007880
93865,1223,2929,tt0001223
96706,8634,157903,tt0008634
97821,9976,174946,tt0009976
100054,9652,70753,tt0009652
100946,2844,56508,tt0002844
101375,7558,148357,tt0007558
101734,8523,51355,tt0008523
102747,7264,2077,tt0007264
102901,5542,53405,tt0005542
103040,4101,53392,tt0004101
103044,6032,53411,tt0006032
103424,4134,151085,tt0004134
104733,6684,53417,tt0006684
105049,5074,43678,tt0005074
105051,5571,50775,tt0005571
105081,4277,53374,tt0004277
107632,8950,174928,tt0008950
109524,1105,77133,tt0001105
110512,9893,48591,tt0009893
111901,3772,92349,tt0003772
112695,8309,128049,tt0008309
112955,7819,38691,tt0007819
113223,5339,38730,tt0005339
114376,2381,42553,tt0002381
116090,5812,53412,tt0005812
116092,5044,53406,tt0005044
116094,4282,53387,tt0004282
116578,2130,70512,tt0002130
117484,6668,141868,tt0006668
120803,1062,118943,tt0001062
121415,6731,174594,tt0006731
123532,8443,95866,tt0008443
126040,7108,52035,tt0007108
126989,2544,205504,tt0002544
126991,6761,282009,tt0006761
126993,8710,206390,tt0008710
127054,4008,100246,tt0004008
128003,3037,56511,tt0003037
128005,3165,56516,tt0003165
128007,3930,56512,tt0003930
128009,3952,56515,tt0003952
130267,6753,200324,tt0006753
133624,5149,208517,tt0005149
135559,6517,120664,tt0006517
135706,3471,96128,tt0003471
140553,1737,100247,tt0001737
140555,5198,133213,tt0005198
141743,5557,134144,tt0005557
142094,4873,87300,tt0004873
142523,5060,109632,tt0005060
143679,4413,151086,tt0004413
